LINEA,ESTACION,DESDE,TOTAL
LINEA_A,LIMA,13:15:00,135.509578544
LINEA_A,LIMA,13:30:00,135.065384615
LINEA_A,LIMA,13:45:00,138.088461538
LINEA_A,LIMA,14:00:00,157.269230769
LINEA_A,LIMA,14:15:00,155.738461538
LINEA_A,LIMA,14:30:00,153.830769231
LINEA_A,LIMA,14:45:00,151.434615385
LINEA_A,LIMA,15:00:00,180.75862069
LINEA_A,LIMA,15:15:00,180.103448276
LINEA_A,LIMA,15:30:00,177.950191571
LINEA_A,LIMA,15:45:00,170.415384615
LINEA_A,LIMA,16:00:00,220.615384615
LINEA_A,LIMA,16:15:00,191.992337165
LINEA_A,LIMA,16:30:00,186.781609195
LINEA_A,LIMA,16:45:00,188.630769231
LINEA_A,LIMA,17:00:00,255.340996169
LINEA_A,LIMA,17:15:00,218.931034483
LINEA_A,LIMA,17:30:00,228.023076923
LINEA_A,LIMA,17:45:00,226.596153846
LINEA_A,LIMA,18:00:00,338.15
LINEA_A,LIMA,18:15:00,246.519230769
LINEA_A,LIMA,18:30:00,214.011538462
LINEA_A,LIMA,18:45:00,172.880769231
LINEA_A,LIMA,19:00:00,175.173076923
LINEA_A,LIMA,19:15:00,133.988461538
LINEA_A,LIMA,19:30:00,114.284615385
LINEA_A,LIMA,19:45:00,101.169230769
LINEA_A,LIMA,20:00:00,110.861538462
LINEA_A,LIMA,20:15:00,95.8230769231
LINEA_A,LIMA,20:30:00,77.1653846154
LINEA_A,LIMA,20:45:00,65.3076923077
LINEA_A,LIMA,21:00:00,73.5900383142
LINEA_A,LIMA,21:15:00,61.8923076923
LINEA_A,LIMA,21:30:00,48.5423076923
LINEA_A,LIMA,21:45:00,43.8846153846
LINEA_A,LIMA,22:00:00,54.9961685824
LINEA_A,LIMA,22:15:00,39.61003861
LINEA_A,LIMA,22:30:00,22.3590733591
LINEA_A,LIMA,22:45:00,10.1653225806
LINEA_A,LIMA,23:00:00,1.42857142857
LINEA_A,LORIA,05:00:00,4.36170212766
LINEA_A,LORIA,05:15:00,6.31967213115
LINEA_A,LORIA,05:30:00,10.0860655738
LINEA_A,LORIA,05:45:00,12.5450819672
LINEA_A,LORIA,06:00:00,17.9221311475
LINEA_A,LORIA,06:15:00,25.2172131148
LINEA_A,LORIA,06:30:00,38.5737704918
LINEA_A,LORIA,06:45:00,47.9346938776
LINEA_A,LORIA,07:00:00,77.5142857143
LINEA_A,LORIA,07:15:00,104.681632653
LINEA_A,LORIA,07:30:00,117.459349593
LINEA_A,LORIA,07:45:00,96.6705426357
LINEA_A,LORIA,08:00:00,109.44015444
LINEA_A,LORIA,08:15:00,129.007722008
LINEA_A,LORIA,08:30:00,140.266409266
LINEA_A,LORIA,08:45:00,132.092664093
LINEA_A,LORIA,09:00:00,125.332046332
